time,open,high,low,close
2026-07-14T20:03:00-05:00,29880,29883,29864.25,29870.75
2026-07-14T20:04:00-05:00,29871,29888.75,29869.25,29886
2026-07-14T20:05:00-05:00,29887.75,29893.25,29876,29880.25
2026-07-14T20:06:00-05:00,29878.75,29890.75,29874.5,29889.5
2026-07-14T20:07:00-05:00,29890.25,29893.25,29867.75,29872.25
2026-07-14T20:08:00-05:00,29869,29876.5,29862.75,29875
2026-07-14T20:09:00-05:00,29875.5,29878,29870,29877
2026-07-14T20:10:00-05:00,29878.75,29883.25,29865,29866.75
2026-07-14T20:11:00-05:00,29866.25,29874,29860,29872
2026-07-14T20:12:00-05:00,29873.75,29883,29866.75,29883
2026-07-14T20:13:00-05:00,29883,29888.5,29874.75,29885
2026-07-14T20:14:00-05:00,29885.75,29889.25,29881,29886.25
2026-07-14T20:15:00-05:00,29885,29913,29885,29913
2026-07-14T20:16:00-05:00,29910.5,29918.25,29905,29908.5
2026-07-14T20:17:00-05:00,29909.75,29910,29901.25,29908.25
2026-07-14T20:18:00-05:00,29906.25,29907.75,29899.75,29902
2026-07-14T20:19:00-05:00,29903,29908.5,29901.75,29907
2026-07-14T20:20:00-05:00,29909,29911.5,29896.25,29899.75
2026-07-14T20:21:00-05:00,29901,29906,29898.5,29906
2026-07-14T20:22:00-05:00,29906.5,29918.5,29906,29915.25
2026-07-14T20:23:00-05:00,29917.25,29921.25,29915.75,29917.5
2026-07-14T20:24:00-05:00,29921,29922.5,29910,29911.25
2026-07-14T20:25:00-05:00,29909.75,29918.75,29907.5,29915.5
2026-07-14T20:26:00-05:00,29915,29935.75,29915,29932.5
2026-07-14T20:27:00-05:00,29933.5,29933.75,29926,29932.25
2026-07-14T20:28:00-05:00,29934,29942.75,29932,29932
2026-07-14T20:29:00-05:00,29930.5,29932.25,29918,29922.75
2026-07-14T20:30:00-05:00,29924.25,29933.75,29919.75,29920.25
2026-07-14T20:31:00-05:00,29921.75,29931.25,29914.75,29930
2026-07-14T20:32:00-05:00,29929,29931,29923.75,29929.5
2026-07-14T20:33:00-05:00,29929.25,29931.5,29916.75,29922
2026-07-14T20:34:00-05:00,29919.75,29923.25,29914,29920
2026-07-14T20:35:00-05:00,29920.25,29921,29911,29918
2026-07-14T20:36:00-05:00,29918.75,29931,29915.75,29929.25
2026-07-14T20:37:00-05:00,29925.5,29935.5,29923.25,29934.75
2026-07-14T20:38:00-05:00,29934.5,29938.75,29929.5,29933.5
